Year,global_EC_EJ
1800,20.3508
1810,21.4596
1820,22.5504
1840,23.9508
1850,26.28
1860,28.0476
1870,28.818
1880,30.9312
1890,34.2684
1900,38.462
1910,43.6724
1920,56.4324
1930,65.0764
1950,72.2516
1960,82.3295999
1960,102.8304
1960,150.53
1965,188.480118
1966,197.180049
1967,203.407085
1968,213.785596
1969,226.378101
1970,239.062938
1971,247.359178
1972,259.263666
1973,272.520038
1974,273.914544
1975,275.739099
1976,288.845801
1977,298.213907
1978,308.659009
1979,317.87909
1980,315.573391
1981,314.624868
1982,313.613878
1983,318.685263
1984,331.699903
1985,339.958795
1986,347.048243
1987,358.638931
1988,371.015428
1989,377.866526
1990,383.275171
1991,386.07407
1992,388.667055
1993,391.894843
1994,396.837432
1995,405.068158
1996,416.083804
1997,420.248199
1998,422.840615
1999,429.88703
2000,440.237697
2001,444.204992
2002,452.614352
2003,466.420797
2004,487.292543
2005,501.576634
2006,514.013938
2007,528.639383
2008,533.923816
2009,525.768484
2010,548.862561
2011,560.357549
2012,567.420479
2013,576.106293
2014,581.547783
2015,585.159134
2016,591.573774
2017,603.708931
2018,618.621843
2019,625.123826
2020,604.486235
2021,633.334006
2022,644.042057
2023,654.881632
2024,670.977909
2025,
