Year,Australia,Austria,Belgium,Canada,Czechia,Denmark,Finland,France,Germany ,Greece,Hungary ,Iceland,Ireland,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovakia,UK,USA,Argentina,Brazil,Chile,China,Colombia ,India,Indonesia,Israel,Saudi Arabia,South Africa,Bulgaria,Romania,Global
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3015470895
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3064869675
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3123374315
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3192807828
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3264487340
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3334533704
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3404041125
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3473412880
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545187251
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3619491580
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3694683794
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3769847866
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3844917680
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3920805042
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996416096
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070735278
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4144246378
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4217863796
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4292097502
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4368539528
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4447606237
