Year,Australia,Austria,Belgium,Canada,Czechia,Denmark,Finland,France,Germany ,Greece,Hungary ,Iceland,Ireland,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovakia,UK,USA,Argentina,Brazil,Chile,China,Colombia ,India,Indonesia,Israel,Saudi Arabia,South Africa,Bulgaria,Romania,Global
1960,10280813,7047274,9102171,17898790,9541605,4579342.5,4429624,46428133.5,72811640.5,8384491.5,9983374,175560.5,2827689.5,49514555,96399753.5,26115379.5,313877.5,36724614.5,11486911,2379480.5,3581121,29575966,8873218,4124442,52538548.5,180274555,20386045,72388126.5,8153350,654802068.5,15606209,435990338,88296070,1891934.5,2435403.5,16440171.5,7862926.5,18313495,3015470895
1961,10500443,7086057.5,9158211,18263074.5,9573390,4611360.5,4460995,46893835,73376115.5,8447002,10026513.5,178997.5,2824692.5,49815249.5,97217593.5,26852951,316342,37890118,11639365,2429747,3609656.5,29979688.5,8888374.5,4185342,52884948.5,183489485,20726276,74605447.5,8324802.5,655773486,16095203,446564728.5,90791249,1956884.5,2526346.5,16908035,7938300,18422514,3064869675
1962,10707236,7129579,9217669,18613600.5,9597459.5,4647467,4491730.5,47352622.5,73997003,8473376,10058066,182341,2831495.5,50170589.5,98076405.5,27509237,319651.5,39129200.5,11807551,2484405,3638841,30338086.5,8895776,4235790,53272830.5,186724272.5,21072538.5,76865323.5,8497059.5,665073690.5,16599028.5,457283089.5,93375850,2040961,2620910.5,17418522.5,8008325,18511669.5,3123374315
1963,10913265,7175493.5,9275196.5,18964261.5,9627330.5,4684265.5,4523898.5,47817824,74698009.5,8488375,10083841,185643,2843034,50570976.5,98958231,28145540,322848,40424064.5,11969156,2538114.5,3666498,30674020,8898302,4278462.5,53652936,189825226.5,21421705,79164234.5,8670144,684552645.5,17113823.5,468138575,96051424,2135041,2719341.5,17954564,8073731,18587430,3192807828
1964,11128250.5,7223394.5,9337684.5,19321666,9668746.5,4721891,4549087,48319087,75313485,8504002,10114371,189026,2857166.5,51019578.5,99890178,28744977,326232.5,41772049,12131884.5,2588769.5,3694320,30993135,8895763.5,4323292,54009134.5,192819452,21769453.5,81488594.5,8842525.5,704798265,17637411,479229598,98833748.5,2231855,2821967.5,18511361.5,8140084.5,18655401.5,3264487340
1965,11357477,7270415,9399857.5,19685518,9706847.5,4758836,4564150.5,48772830,75966964,8521363,10141119,192333,2873152.5,51480727.5,100916019.5,29284337.5,329702.5,43174477,12301125,2636493.5,3723172,31288335.5,8889625,4365047.5,54359020.5,195653774,22112629.5,83817582.5,9012938,723415733,18169049.5,490140146,101365130.5,2331451,2928771,19089380.5,8202416.5,18713054,3334533704
1966,11592485,7321518.5,9455002.5,20053671,9736239,4797206.5,4581441.5,49184656,76611031,8579991.5,10170404.5,195596,2888887,51919067,101887835,29845940.5,333077,44629106,12464288.5,2682582.5,3752788.5,31568284,8872479.5,4402202,54676344,198265406,22453892.5,86139358.5,9181722.5,742402213,18702687.5,500740247,103792753.5,2433835,3039887.5,19690086.5,8258785.5,18776259,3404041125
1967,11810519,7376289,9505919.5,20408779.5,9758982.5,4835217.5,4606649.5,49574909,76970791,8655156.5,10206810.5,198783,2905420,52338334,102965527.5,30495728,335517.5,46129608,12607833.5,2723419.5,3784110,31828630.5,8845841.5,4436104,54973661,200699911.5,22799059,88446123.5,9348939,761026026,19235617.5,511606371.5,106526393,2538657,3157242,20314065.5,8311124,18998555,3473412880
1968,12030013,7414623.5,9549699.5,20734171.5,9775113,4864796,4627345.5,49947251,77321279,8717917,10244544,201504,2922794.5,52712155.5,104237471,31175290,337007,47668303,12740845.5,2754525.5,3816088,32078387.5,8809704.5,4466440,55240645.5,203011019.5,23150583,90741240,9514716,781011024.5,19766796,522716888.5,109450006,2645470,3282710.5,20957287,8370638,19361055,3545187251
1969,12272380.5,7440301.5,9589187.5,21037618,9787788.5,4891799,4624084,50355295,77944020.5,8747072.5,10281589,203377,2940752.5,53060137,105475169.5,31852761,338263,49233193.5,12890635.5,2784399.5,3847304,32322775,8754238.5,4495038,55456206.5,205300032.5,23508711,93045776.5,9680282,802140332,20291942,533880543.5,112517639,2754157,3417114,21614676,8435276.5,19701808,3619491580
