Year,Global_EC_EJ
2020,604.486235
2021,624.2981824460967
2022,652.7241787383008
2023,668.3939013238728
2024,684.0684754923726
2025,687.0393375078784
2026,693.3931536585449
2027,718.1592212628617
2028,725.5564654401304
2029,734.5561101166888
2030,742.264342299275
2031,755.4845003758433
2032,756.8455668574
2033,772.8820471621088
2034,695.0224601022156
2035,702.3824781490259
2036,710.7995685251555
2037,715.6779613325575
2038,734.0309496681645
2039,747.3007184232924
2040,755.2319087903113
2041,766.8597731117342
2042,774.3410516603384
2043,788.4698154982277
2044,800.6202951377854
2045,819.5695947003453
2046,823.9614235213528
2047,822.9110586268234
2048,833.3293618234269
2049,840.8820698646275
2050,846.8993529670884
2051,857.64871684104
2052,868.4488236241012
2053,870.9014876138957
2054,879.3264993902518
2055,881.0944342568384
2056,891.7774708708083
2057,899.9548918564906
2058,906.2731103127384
2059,884.595992380151
2060,893.0987637709674
2061,919.6469286912638
2062,922.5563275726017
2063,929.2749470603966
2064,939.4632750560062
2065,935.8660498201141
2066,957.8691085555262
2067,971.9340963250659
2068,984.016972717985
2069,1002.1377563781516
2070,1004.4161399399545
2071,1027.0050918350198
2072,1029.4764146832024
2073,1035.5045340808176
2074,1044.9239037307261
2075,1056.0313813964144
2076,1062.322883384965
2077,1219.4661853633838
2078,1234.8428537878435
2079,1245.7742824507873
2080,1283.7427980666516
2081,1300.1954575544355
2082,1309.4036011703301
2083,1316.3193328184627
2084,1322.4025843433817
2085,1324.4369174623355
2086,1328.160019282921
2087,1332.9349955021373
2088,1342.8075172126266
2089,1365.0558841835111
2090,1415.187210224093
2091,1423.6385988268992
2092,1479.2147894975496
2093,1487.5801277044263
2094,1497.0103455476305
2095,1519.0157012957775
2096,1532.4026734213808
2097,1533.86222606067
2098,1556.8482683136253
2099,1582.2133625044557
2100,1594.9358085146678
