Year,target_ratio
1970,0.589384541070101
1971,0.5898305499705372
1972,0.5924085020073735
1973,0.595625926046583
1974,0.5868983722164093
1975,0.5745286053901264
1976,0.5784747412686121
1977,0.5779743866874726
1978,0.5795068175055276
1979,0.5809756156027752
1980,0.5744780934334225
1981,0.568645451128167
1982,0.5593183602672073
1983,0.5572582752281205
1984,0.5634611234722007
1985,0.562568178299373
1986,0.5627459695855599
1987,0.5637424789223454
1988,0.5689790344783182
1989,0.5732182797266355
1990,0.5924985941758278
1991,0.597760942608759
1992,0.6090045373153637
1993,0.6218249725730635
1994,0.6308880660229653
1995,0.6383370178408346
1996,0.6447979888205406
1997,0.6752438218063607
1998,0.6736817370299208
1999,0.6751773832301943
2000,0.6748399830921339
2001,0.6709064629332215
2002,0.6735314482471383
2003,0.678014363926401
2004,0.6817260078613597
2005,0.6856180625032864
2006,0.6896894690820621
2007,0.6915489306251706
2008,0.690847624598188
2009,0.6916922772419354
2010,0.6956932885061548
2011,0.6968051036285763
2012,0.695621703142653
2013,0.7000444273918042
2014,0.7001832212298195
2015,0.7007324609240398
2016,0.7001155531279519
2017,0.6981013173051767
2018,0.698358787179133
2019,0.6965180047384725
