Year,EC_42,GDP_42,Population_42,global_EC,GDP_global,Population_global,target_ratio,feat_EC42_over_GDP42,feat_GDP42_over_GDPglobal,feat_Pop42_over_Popglobal
1970,140.9,16548900000000.0,2364651248.5,239.062938,22700000000000.0,3694683794.0,0.589384541070101,8.514161062064548e-12,0.7290264317180617,0.640014512836007
1971,145.9,17248600000000.0,2413130463.0,247.359178,23600000000000.0,3769847866.0,0.5898305499705372,8.45865751423304e-12,0.7308728813559322,0.6401134870093456
1972,153.59,18195700000000.0,2460807727.0,259.263666,24900000000000.0,3844917680.0,0.5924085020073735,8.441005292459207e-12,0.7307510040160643,0.640015712117925
1973,162.32,19402000000000.0,2508024046.5,272.520038,26500000000000.0,3920805042.0,0.595625926046583,8.36614781981239e-12,0.7321509433962264,0.6396706848807404
1974,160.76,19817800000000.0,2554225303.0,273.914544,27100000000000.0,3996416096.0,0.5868983722164093,8.11189940356649e-12,0.7312841328413284,0.6391289699679961
1975,158.42000000000002,19978000000000.0,2598565662.0,275.739099,27200000000000.0,4070735278.0,0.5745286053901264,7.929722694964462e-12,0.7344852941176471,0.6383528980731721
1976,167.09,20999400000000.0,2641360707.5,288.845801,28600000000000.0,4144246378.0,0.5784747412686121,7.956894006495424e-12,0.7342447552447553,0.6373560996570653
1977,172.35999999999999,21976000000000.0,2686816216.5,298.213907,29800000000000.0,4217863796.0,0.5779743866874726,7.84310156534401e-12,0.7374496644295302,0.6370087671033937
1978,178.87,22981700000000.0,2728822160.5,308.659009,31000000000000.0,4292097502.0,0.5795068175055276,7.783149201321051e-12,0.7413451612903226,0.6357782317919021
1979,184.68,24019000000000.0,2772078279.0,317.87909,32300000000000.0,4368539528.0,0.5809756156027752,7.688912943919398e-12,0.7436222910216719,0.6345549264765632
1980,181.29,24718100000000.0,2826278541.0,315.573391,32900000000000.0,4447606237.0,0.5744780934334225,7.334301584668725e-12,0.7513100303951368,0.6354606029391626
1981,178.91,25282500000000.0,2872564166.5,314.624868,33800000000000.0,4528777307.0,0.568645451128167,7.076436270147335e-12,0.7480029585798816,0.6342913267251982
1982,175.41,25335800000000.0,2920121532.5,313.613878,34800000000000.0,4612673421.0,0.5593183602672073,6.923404826372169e-12,0.7280402298850575,0.6330648771286599
1983,177.59,25950600000000.0,2967677824.5,318.685263,35700000000000.0,4697327574.0,0.5572582752281205,6.8433870507810995e-12,0.7269075630252101,0.6317800446633275
1984,186.89999999999998,27224600000000.0,3014912245.0,331.699903,36700000000000.0,4782175519.0,0.5634611234722007,6.865114638966228e-12,0.7418147138964578,0.6304478438780615
1985,191.25,28278200000000.0,3063541100.0,339.958795,37600000000000.0,4868943466.0,0.562568178299373,6.763160314305719e-12,0.7520797872340426,0.6292003843118765
1986,195.3,29272800000000.0,3113960458.0,347.048243,40200000000000.0,4958072838.0,0.5627459695855599,6.671722554726573e-12,0.7281791044776119,0.6280586348255661
