Year,EC_42,GDP_42,Population_42,global_EC,GDP_global,Population_global
1970,140.9,16548900000000.0,2364651248.5,239.062938,22700000000000.0,3694683794.0
1971,145.9,17248600000000.0,2413130463.0,247.359178,23600000000000.0,3769847866.0
1972,153.59,18195700000000.0,2460807727.0,259.263666,24900000000000.0,3844917680.0
1973,162.32,19402000000000.0,2508024046.5,272.520038,26500000000000.0,3920805042.0
1974,160.76,19817800000000.0,2554225303.0,273.914544,27100000000000.0,3996416096.0
1975,158.42000000000002,19978000000000.0,2598565662.0,275.739099,27200000000000.0,4070735278.0
1976,167.09,20999400000000.0,2641360707.5,288.845801,28600000000000.0,4144246378.0
1977,172.35999999999999,21976000000000.0,2686816216.5,298.213907,29800000000000.0,4217863796.0
1978,178.87,22981700000000.0,2728822160.5,308.659009,31000000000000.0,4292097502.0
1979,184.68,24019000000000.0,2772078279.0,317.87909,32300000000000.0,4368539528.0
1980,181.29,24718100000000.0,2826278541.0,315.573391,32900000000000.0,4447606237.0
1981,178.91,25282500000000.0,2872564166.5,314.624868,33800000000000.0,4528777307.0
1982,175.41,25335800000000.0,2920121532.5,313.613878,34800000000000.0,4612673421.0
1983,177.59,25950600000000.0,2967677824.5,318.685263,35700000000000.0,4697327574.0
1984,186.89999999999998,27224600000000.0,3014912245.0,331.699903,36700000000000.0,4782175519.0
1985,191.25,28278200000000.0,3063541100.0,339.958795,37600000000000.0,4868943466.0
1986,195.3,29272800000000.0,3113960458.0,347.048243,40200000000000.0,4958072838.0
1987,202.18,30363800000000.0,3166210537.0,358.638931,42800000000000.0,5049746398.0
1988,211.1,31829900000000.0,3218893580.0,371.015428,45400000000000.0,5141992542.0
1989,216.6,33037200000000.0,3271831428.0,377.866526,47900000000000.0,5234431732.0
1990,227.09,34754000000000.0,3387258009.5,383.275171,50500000000000.0,5327803110.0
1991,230.78,35480400000000.0,3439356351.0,386.07407,51700000000000.0,5418735892.0
1992,236.70000000000002,36748400000000.0,3498016349.0,388.667055,52800000000000.0,5505989816.0
1993,243.69,37927400000000.0,3555543102.0,391.894843,54000000000000.0,5591544797.0
1994,250.36,39582800000000.0,3601043734.0,396.837432,55100000000000.0,5675551256.0
1995,258.57,41128100000000.0,3650713251.0,405.068158,56300000000000.0,5758878982.0
1996,268.29,42813200000000.0,3694698508.0,416.083804,58200000000000.0,5842055734.0
1997,283.77,45578800000000.0,3768235291.0,420.248199,60000000000000.0,5924787817.0
1998,284.86,46924200000000.0,3811137448.0,422.840615,61900000000000.0,6007066690.0
1999,290.25,48636300000000.0,3853656201.5,429.88703,63800000000000.0,6089006340.0
2000,297.09,50768600000000.0,3896836964.0,440.237697,65600000000000.0,6171702994.0
2001,298.02,51848100000000.0,3940220655.0,444.204992,68300000000000.0,6254936460.0
2002,304.85,53126300000000.0,3982289249.0,452.614352,70900000000000.0,6337730342.0
2003,316.24,54895200000000.0,4023223095.5,466.420797,73600000000000.0,6420361634.0
2004,332.2,57341200000000.0,4064005215.5,487.292543,76200000000000.0,6503377772.0
2005,343.89,59783800000000.0,4104651133.0,501.576634,78900000000000.0,6586970132.0
2006,354.51,63087800000000.0,4155798120.5,514.013938,81900000000000.0,6671452016.0
2007,365.58,66120200000000.0,4195646378.0,528.639383,84900000000000.0,6757308782.0
2008,368.86,67757000000000.0,4235669371.0,533.923816,87900000000000.0,6844457662.0
2009,363.67,67584100000000.0,4276502347.0,525.768484,90900000000000.0,6932766416.0
2010,381.84,70939200000000.0,4317934080.0,548.862561,93900000000000.0,7021732148.0
2011,390.46,73787800000000.0,4358875715.0,560.357549,97400000000000.0,7110923766.0
2012,394.71,76015800000000.0,4400053040.0,567.420479,101000000000000.0,7201202485.0
2013,403.3,78668700000000.0,4441074054.0,576.106293,104000000000000.0,7291793585.0
2014,407.19,81496300000000.0,4480793921.0,581.547783,108000000000000.0,7381616244.0
2015,410.04,84602800000000.0,4519335244.0,585.159134,111000000000000.0,7470491872.0
2016,414.17,87406000000000.0,4556844014.5,591.573774,114000000000000.0,7558554526.0
2017,421.45,90844900000000.0,4593341135.5,603.708931,116000000000000.0,7645617954.0
2018,432.02000000000004,94308000000000.0,4627242686.5,618.621843,119000000000000.0,7729902781.0
2019,435.41,97173000000000.0,4657714490.5,625.123826,121000000000000.0,7811293699.0
